,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
23,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",190,"[20, 23, 14, 12, 17, 43, 21, 17, 91]","[18, 20, 49, 42, 21, 24, 21, 25, 11]","[16, 22, 8, 10, 19, 11, 14, 14, 1]","[19, 13, 14, 15, 24, 6, 21, 18, 7]","[73, 78, 85, 79, 81, 84, 77, 74, 110]",76,258,231,115,137,5,UK
24,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",200,"[18, 12, 15, 18, 22, 42, 23, 17, 91]","[25, 25, 47, 53, 24, 13, 15, 21, 8]","[12, 16, 13, 12, 13, 16, 11, 15, 7]","[18, 18, 13, 8, 16, 23, 22, 14, 5]","[73, 71, 88, 91, 75, 94, 71, 67, 111]",94,258,231,115,137,5,UK
25,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",203,"[17, 25, 15, 11, 13, 43, 21, 18, 95]","[23, 26, 50, 50, 21, 15, 22, 19, 5]","[12, 12, 11, 10, 22, 12, 17, 18, 1]","[20, 16, 11, 12, 16, 16, 18, 22, 6]","[72, 79, 87, 83, 72, 86, 78, 77, 107]",98,258,231,115,137,5,UK
26,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",216,"[14, 19, 10, 11, 26, 48, 19, 11, 100]","[19, 20, 50, 58, 20, 22, 24, 16, 2]","[15, 10, 13, 12, 14, 13, 16, 20, 2]","[25, 19, 15, 12, 18, 10, 14, 22, 2]","[73, 68, 88, 93, 78, 93, 73, 69, 106]",109,258,231,115,137,5,UK
27,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",229,"[18, 14, 21, 10, 21, 49, 15, 14, 96]","[20, 23, 55, 54, 26, 16, 17, 16, 4]","[11, 18, 11, 10, 14, 11, 24, 13, 3]","[19, 19, 8, 15, 20, 9, 16, 28, 3]","[68, 74, 95, 89, 81, 85, 72, 71, 106]",124,258,231,115,137,5,UK
28,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",239,"[8, 20, 16, 12, 18, 49, 15, 18, 102]","[21, 18, 54, 47, 17, 20, 30, 19, 5]","[16, 17, 13, 13, 12, 12, 19, 11, 2]","[28, 16, 11, 9, 17, 8, 15, 29, 4]","[73, 71, 94, 81, 64, 89, 79, 77, 113]",122,258,231,115,137,5,UK
29,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",249,"[17, 14, 6, 15, 18, 52, 21, 13, 102]","[18, 23, 57, 57, 16, 22, 17, 20, 1]","[12, 16, 10, 10, 20, 9, 21, 15, 2]","[25, 16, 14, 10, 17, 11, 14, 28, 2]","[72, 69, 87, 92, 71, 94, 73, 76, 107]",144,258,231,115,137,5,UK
30,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",255,"[17, 13, 5, 15, 19, 51, 20, 19, 99]","[14, 27, 59, 52, 15, 18, 21, 20, 5]","[20, 13, 6, 8, 23, 11, 16, 14, 4]","[19, 19, 18, 11, 18, 11, 16, 22, 3]","[70, 72, 88, 86, 75, 91, 73, 75, 111]",126,258,231,115,137,5,UK
31,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",251,"[23, 18, 10, 13, 16, 51, 12, 15, 100]","[19, 29, 61, 51, 17, 13, 20, 17, 4]","[13, 13, 9, 15, 25, 10, 15, 14, 1]","[18, 18, 9, 12, 16, 13, 17, 28, 6]","[73, 78, 89, 91, 74, 87, 64, 74, 111]",152,258,231,115,137,5,UK
32,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",262,"[14, 15, 13, 15, 20, 51, 15, 15, 100]","[22, 25, 53, 48, 19, 12, 22, 24, 6]","[17, 12, 10, 10, 23, 11, 15, 14, 3]","[22, 18, 10, 12, 8, 13, 18, 34, 2]","[75, 70, 86, 85, 70, 87, 70, 87, 111]",139,258,231,115,137,5,UK
33,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",266,"[22, 8, 14, 10, 19, 59, 11, 14, 101]","[19, 29, 58, 51, 16, 13, 19, 21, 5]","[14, 21, 6, 10, 20, 14, 12, 16, 2]","[17, 16, 8, 13, 10, 8, 23, 38, 4]","[72, 74, 86, 84, 65, 94, 65, 89, 112]",143,258,231,115,137,5,UK
34,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",268,"[23, 15, 11, 15, 16, 53, 19, 5, 101]","[18, 27, 56, 51, 13, 20, 19, 22, 5]","[20, 17, 9, 9, 23, 3, 16, 14, 4]","[17, 15, 19, 11, 13, 7, 18, 35, 2]","[78, 74, 95, 86, 65, 83, 72, 76, 112]",154,258,231,115,137,5,UK
35,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",268,"[13, 14, 10, 10, 18, 60, 12, 20, 101]","[13, 21, 61, 62, 22, 12, 21, 16, 3]","[17, 10, 8, 9, 25, 10, 16, 17, 3]","[19, 13, 10, 10, 14, 9, 25, 34, 3]","[62, 58, 89, 91, 79, 91, 74, 87, 110]",166,258,231,115,137,5,UK
36,"[2, 2, 1, 1, 1, 0, 2, 2, 0]",271,"[14, 20, 15, 8, 14, 59, 17, 9, 102]","[18, 19, 62, 54, 25, 10, 22, 17, 4]","[19, 18, 7, 16, 8, 10, 21, 15, 1]","[19, 15, 11, 11, 14, 10, 17, 37, 3]","[70, 72, 95, 89, 61, 89, 77, 78, 110]",150,258,231,115,137,5,UK
37,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",273,"[12, 18, 6, 15, 18, 62, 15, 10, 102]","[21, 21, 60, 59, 27, 9, 14, 18, 2]","[15, 19, 16, 9, 15, 9, 20, 8, 4]","[17, 20, 10, 10, 14, 5, 15, 43, 3]","[65, 78, 92, 93, 74, 85, 64, 79, 111]",156,258,231,115,137,5,UK
38,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",284,"[17, 13, 7, 9, 13, 61, 18, 15, 105]","[22, 21, 63, 58, 16, 12, 23, 14, 2]","[14, 14, 9, 11, 15, 15, 17, 17, 3]","[24, 17, 15, 6, 16, 8, 13, 35, 3]","[77, 65, 94, 84, 60, 96, 71, 81, 113]",177,258,231,115,137,5,UK
39,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",284,"[19, 13, 9, 12, 17, 59, 11, 13, 105]","[24, 20, 57, 62, 21, 6, 16, 19, 6]","[18, 16, 12, 9, 20, 8, 16, 13, 3]","[14, 20, 8, 9, 19, 10, 21, 36, 0]","[75, 69, 86, 92, 77, 83, 64, 81, 114]",173,258,231,115,137,5,UK
40,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",300,"[14, 13, 10, 8, 16, 64, 19, 8, 106]","[19, 24, 60, 67, 17, 10, 17, 15, 2]","[11, 17, 6, 9, 20, 13, 17, 18, 4]","[17, 17, 10, 10, 27, 8, 14, 33, 1]","[61, 71, 86, 94, 80, 95, 67, 74, 113]",195,258,231,115,137,5,UK
41,"[2, 2, 1, 1, 2, 0, 1, 2, 0]",309,"[13, 14, 6, 12, 15, 60, 19, 11, 108]","[21, 17, 64, 63, 18, 10, 23, 13, 2]","[18, 21, 9, 5, 19, 16, 9, 12, 6]","[24, 26, 8, 7, 24, 4, 13, 29, 2]","[76, 78, 87, 87, 76, 90, 64, 65, 118]",187,258,231,115,137,5,UK
42,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",322,"[9, 19, 5, 8, 16, 60, 19, 14, 108]","[19, 17, 66, 69, 9, 9, 15, 27, 0]","[21, 11, 12, 13, 21, 9, 17, 7, 4]","[18, 22, 15, 6, 27, 5, 16, 25, 3]","[67, 69, 98, 96, 73, 83, 67, 73, 115]",199,258,231,115,137,5,UK
43,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",315,"[13, 17, 9, 4, 12, 65, 21, 11, 106]","[21, 17, 63, 67, 15, 12, 17, 19, 0]","[21, 14, 9, 11, 20, 8, 16, 13, 3]","[21, 17, 7, 11, 27, 11, 14, 26, 3]","[76, 65, 88, 93, 74, 96, 68, 69, 112]",186,258,231,115,137,5,UK
44,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",333,"[13, 17, 8, 7, 12, 64, 20, 11, 106]","[13, 10, 69, 72, 14, 10, 20, 20, 3]","[16, 16, 11, 6, 18, 12, 14, 18, 4]","[13, 23, 11, 12, 26, 5, 21, 24, 2]","[55, 66, 99, 97, 70, 91, 75, 73, 115]",190,258,231,115,137,5,UK
45,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",341,"[16, 10, 7, 10, 12, 65, 14, 19, 105]","[19, 17, 68, 66, 14, 12, 18, 13, 4]","[19, 10, 4, 9, 23, 10, 22, 14, 4]","[17, 25, 7, 6, 28, 8, 16, 30, 0]","[71, 62, 86, 91, 77, 95, 70, 76, 113]",213,258,231,115,137,5,UK
46,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",346,"[14, 23, 7, 9, 11, 63, 13, 12, 106]","[14, 8, 70, 75, 14, 12, 15, 18, 5]","[11, 18, 7, 9, 22, 9, 17, 21, 1]","[18, 28, 9, 4, 26, 9, 19, 22, 2]","[57, 77, 93, 97, 73, 93, 64, 73, 114]",196,258,231,115,137,5,UK
47,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",345,"[24, 10, 6, 5, 17, 62, 14, 14, 106]","[13, 16, 69, 76, 13, 12, 16, 14, 2]","[15, 16, 9, 6, 24, 4, 16, 24, 1]","[15, 36, 5, 6, 18, 7, 23, 25, 2]","[67, 78, 89, 93, 72, 85, 69, 77, 111]",220,258,231,115,137,5,UK
48,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",335,"[16, 15, 8, 8, 7, 65, 19, 14, 106]","[16, 14, 72, 73, 20, 6, 11, 18, 1]","[17, 15, 4, 10, 25, 9, 16, 16, 3]","[14, 28, 8, 7, 24, 7, 18, 26, 5]","[63, 72, 92, 98, 76, 87, 64, 74, 115]",200,258,231,115,137,5,UK
49,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",333,"[13, 23, 6, 4, 12, 65, 14, 14, 107]","[17, 14, 71, 75, 19, 10, 13, 11, 1]","[20, 9, 8, 10, 26, 10, 21, 9, 2]","[22, 24, 9, 7, 15, 11, 15, 33, 1]","[72, 70, 94, 96, 72, 96, 63, 67, 111]",218,258,231,115,137,5,UK
50,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",351,"[12, 10, 7, 7, 17, 66, 19, 12, 108]","[17, 16, 66, 81, 13, 6, 17, 13, 2]","[19, 18, 9, 8, 25, 5, 19, 10, 2]","[22, 28, 9, 7, 16, 8, 9, 35, 3]","[70, 72, 91, 103, 71, 85, 64, 70, 115]",218,258,231,115,137,5,UK
51,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",354,"[8, 13, 8, 7, 13, 74, 11, 13, 111]","[19, 11, 68, 83, 13, 3, 17, 16, 1]","[13, 11, 9, 4, 28, 9, 20, 19, 2]","[18, 31, 5, 2, 15, 8, 24, 29, 5]","[58, 66, 90, 96, 69, 94, 72, 77, 119]",234,258,231,115,137,5,UK
52,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",359,"[15, 14, 6, 6, 15, 75, 7, 11, 109]","[15, 8, 68, 86, 11, 10, 14, 17, 2]","[19, 15, 13, 10, 29, 8, 12, 7, 2]","[15, 33, 10, 5, 13, 6, 19, 34, 2]","[64, 70, 97, 107, 68, 99, 52, 69, 115]",220,258,231,115,137,5,UK
53,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",374,"[16, 11, 6, 5, 10, 74, 12, 14, 110]","[16, 18, 72, 79, 9, 7, 16, 13, 1]","[20, 11, 8, 10, 30, 7, 18, 11, 0]","[17, 29, 5, 5, 21, 8, 19, 30, 3]","[69, 69, 91, 99, 70, 96, 65, 68, 114]",237,258,231,115,137,5,UK
54,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",373,"[13, 12, 6, 2, 18, 70, 16, 10, 111]","[15, 11, 69, 86, 13, 7, 16, 12, 2]","[19, 16, 13, 4, 34, 7, 8, 14, 0]","[17, 25, 9, 8, 15, 8, 18, 35, 2]","[64, 64, 97, 100, 80, 92, 58, 71, 115]",239,258,231,115,137,5,UK
55,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",373,"[10, 10, 5, 5, 14, 72, 15, 16, 111]","[18, 11, 76, 85, 13, 3, 11, 11, 3]","[13, 14, 10, 3, 33, 6, 17, 16, 3]","[20, 27, 4, 7, 15, 10, 16, 37, 1]","[61, 62, 95, 100, 75, 91, 59, 80, 118]",257,258,231,115,137,5,UK
56,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",379,"[14, 13, 8, 2, 14, 70, 13, 11, 113]","[14, 16, 77, 84, 14, 4, 10, 10, 2]","[18, 15, 6, 7, 27, 6, 20, 16, 0]","[15, 24, 7, 9, 19, 8, 19, 35, 1]","[61, 68, 98, 102, 74, 88, 62, 72, 116]",250,258,231,115,137,5,UK
57,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",392,"[15, 14, 4, 5, 19, 71, 11, 6, 113]","[13, 10, 73, 85, 8, 9, 14, 16, 3]","[17, 12, 3, 9, 29, 6, 24, 13, 2]","[14, 28, 11, 3, 13, 11, 16, 39, 2]","[59, 64, 91, 102, 69, 97, 65, 74, 120]",260,258,231,115,137,5,UK
58,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",388,"[9, 11, 6, 9, 12, 73, 15, 9, 114]","[17, 13, 73, 86, 10, 6, 11, 15, 0]","[15, 18, 7, 5, 29, 3, 20, 18, 0]","[22, 17, 9, 4, 18, 12, 18, 37, 0]","[63, 59, 95, 104, 69, 94, 64, 79, 114]",264,258,231,115,137,5,UK
59,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",385,"[13, 9, 6, 6, 15, 72, 13, 9, 115]","[16, 15, 71, 87, 9, 4, 14, 14, 1]","[19, 15, 4, 7, 29, 6, 19, 15, 1]","[16, 25, 9, 2, 16, 8, 20, 40, 1]","[64, 64, 90, 102, 69, 90, 66, 78, 118]",264,258,231,115,137,5,UK
60,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",391,"[16, 12, 5, 5, 12, 73, 16, 3, 116]","[9, 11, 73, 88, 11, 10, 15, 13, 1]","[17, 16, 6, 7, 33, 6, 17, 11, 2]","[17, 23, 10, 5, 17, 6, 20, 39, 0]","[59, 62, 94, 105, 73, 95, 68, 66, 119]",279,258,231,115,137,5,UK
61,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",391,"[12, 18, 6, 1, 11, 71, 11, 10, 118]","[12, 13, 74, 90, 12, 8, 17, 5, 0]","[17, 18, 6, 3, 39, 6, 11, 14, 1]","[16, 18, 7, 4, 16, 9, 25, 42, 0]","[57, 67, 93, 98, 78, 94, 64, 71, 119]",277,258,231,115,137,5,UK
62,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",400,"[8, 13, 6, 5, 9, 73, 14, 14, 116]","[15, 12, 79, 90, 9, 4, 13, 9, 0]","[20, 9, 10, 7, 41, 5, 8, 14, 1]","[14, 19, 6, 4, 13, 11, 23, 47, 0]","[57, 53, 101, 106, 72, 93, 58, 84, 117]",277,258,231,115,137,5,UK
63,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",419,"[13, 13, 6, 5, 12, 72, 12, 8, 117]","[14, 14, 79, 89, 13, 4, 14, 4, 0]","[15, 18, 5, 3, 32, 6, 19, 16, 1]","[21, 10, 4, 7, 17, 3, 23, 52, 0]","[63, 55, 94, 104, 74, 85, 68, 80, 118]",287,258,231,115,137,5,UK
64,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",413,"[9, 14, 8, 1, 17, 73, 10, 8, 118]","[10, 13, 78, 92, 13, 2, 13, 10, 0]","[26, 16, 5, 3, 25, 10, 20, 8, 2]","[24, 15, 5, 4, 19, 8, 15, 47, 0]","[69, 58, 96, 100, 74, 93, 58, 73, 120]",292,258,231,115,137,5,UK
65,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",421,"[10, 16, 5, 5, 10, 71, 11, 12, 118]","[12, 13, 80, 89, 10, 5, 10, 11, 1]","[22, 15, 8, 4, 31, 6, 16, 13, 0]","[22, 17, 8, 5, 13, 7, 17, 47, 1]","[66, 61, 101, 103, 64, 89, 54, 83, 120]",286,258,231,115,137,5,UK
66,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",421,"[10, 9, 6, 7, 14, 79, 9, 7, 117]","[13, 14, 79, 92, 12, 2, 13, 6, 0]","[25, 9, 5, 3, 32, 6, 22, 13, 0]","[15, 17, 8, 3, 13, 9, 23, 48, 1]","[63, 49, 98, 105, 71, 96, 67, 74, 118]",293,258,231,115,137,5,UK
67,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",414,"[15, 8, 3, 8, 11, 72, 15, 10, 116]","[9, 10, 81, 86, 15, 3, 16, 8, 3]","[19, 19, 4, 4, 35, 8, 13, 12, 1]","[14, 21, 9, 5, 8, 10, 17, 52, 1]","[57, 58, 97, 103, 69, 93, 61, 82, 121]",287,258,231,115,137,5,UK
68,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",419,"[20, 12, 7, 4, 8, 74, 13, 4, 116]","[10, 15, 79, 89, 10, 6, 14, 7, 1]","[10, 26, 7, 5, 31, 9, 17, 9, 1]","[22, 12, 6, 5, 16, 5, 10, 61, 0]","[62, 65, 99, 103, 65, 94, 54, 81, 118]",299,258,231,115,137,5,UK
69,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",431,"[11, 18, 4, 7, 9, 78, 10, 4, 117]","[11, 6, 81, 93, 13, 5, 12, 10, 0]","[16, 20, 9, 4, 32, 5, 17, 12, 0]","[14, 14, 3, 5, 11, 9, 18, 62, 1]","[52, 58, 97, 109, 65, 97, 57, 88, 118]",293,258,231,115,137,5,UK
70,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",432,"[14, 13, 4, 4, 6, 75, 10, 15, 117]","[14, 10, 84, 94, 14, 2, 8, 5, 0]","[17, 21, 3, 4, 31, 10, 19, 8, 2]","[13, 12, 7, 2, 10, 9, 18, 66, 0]","[58, 56, 98, 104, 61, 96, 55, 94, 119]",320,258,231,115,137,5,UK
71,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",433,"[12, 17, 1, 1, 18, 72, 15, 5, 117]","[6, 14, 82, 94, 14, 6, 8, 7, 0]","[20, 19, 7, 3, 34, 6, 18, 7, 1]","[16, 16, 6, 7, 11, 7, 11, 62, 1]","[54, 66, 96, 105, 77, 91, 52, 81, 119]",302,258,231,115,137,5,UK
72,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",436,"[10, 11, 2, 6, 14, 76, 16, 6, 117]","[10, 18, 86, 96, 6, 2, 6, 7, 0]","[21, 16, 8, 4, 34, 5, 16, 11, 0]","[13, 5, 6, 2, 16, 7, 21, 64, 3]","[54, 50, 102, 108, 70, 90, 59, 88, 120]",291,258,231,115,137,5,UK
73,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",439,"[20, 14, 4, 4, 8, 74, 9, 7, 118]","[9, 15, 84, 94, 5, 2, 15, 7, 0]","[21, 21, 1, 7, 31, 9, 19, 5, 1]","[13, 15, 2, 6, 14, 7, 14, 66, 0]","[63, 65, 91, 111, 58, 92, 57, 85, 119]",315,258,231,115,137,5,UK
74,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",442,"[16, 17, 4, 1, 12, 77, 9, 5, 117]","[13, 10, 82, 95, 13, 4, 9, 5, 0]","[16, 17, 13, 1, 33, 7, 21, 5, 2]","[11, 13, 7, 2, 13, 7, 21, 63, 0]","[56, 57, 106, 99, 71, 95, 60, 78, 119]",308,258,231,115,137,5,UK
75,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",445,"[13, 18, 3, 4, 7, 73, 14, 8, 118]","[12, 10, 81, 94, 10, 7, 12, 5, 0]","[22, 13, 11, 5, 32, 7, 14, 10, 1]","[16, 15, 3, 6, 11, 3, 21, 61, 1]","[63, 56, 98, 109, 60, 90, 61, 84, 120]",312,258,231,115,137,5,UK
76,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",453,"[12, 8, 5, 6, 15, 74, 12, 7, 119]","[7, 11, 84, 96, 9, 4, 12, 7, 1]","[29, 10, 7, 5, 27, 10, 11, 15, 1]","[22, 13, 5, 3, 6, 7, 19, 62, 0]","[70, 42, 101, 110, 57, 95, 54, 91, 121]",320,258,231,115,137,5,UK
77,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",472,"[10, 15, 3, 3, 10, 76, 16, 5, 120]","[7, 12, 88, 97, 9, 5, 8, 5, 0]","[21, 13, 3, 3, 38, 5, 16, 16, 0]","[20, 14, 2, 3, 8, 5, 25, 60, 0]","[58, 54, 96, 106, 65, 91, 65, 86, 120]",349,258,231,115,137,5,UK
78,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",474,"[6, 12, 8, 4, 12, 76, 14, 6, 120]","[14, 11, 81, 94, 10, 4, 9, 7, 1]","[13, 12, 4, 5, 34, 12, 19, 16, 0]","[13, 14, 6, 0, 10, 5, 29, 60, 0]","[46, 49, 99, 103, 66, 97, 71, 89, 121]",323,258,231,115,137,5,UK
79,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",481,"[8, 12, 8, 5, 10, 76, 12, 7, 120]","[9, 10, 81, 96, 13, 6, 12, 4, 0]","[20, 18, 5, 4, 37, 5, 10, 16, 0]","[10, 18, 4, 4, 10, 6, 27, 58, 0]","[47, 58, 98, 109, 70, 93, 61, 85, 120]",331,258,231,115,137,5,UK
80,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",481,"[8, 15, 1, 5, 11, 81, 13, 5, 119]","[9, 10, 85, 97, 11, 2, 9, 8, 0]","[13, 17, 6, 3, 35, 6, 16, 18, 1]","[16, 16, 5, 2, 9, 4, 23, 62, 0]","[46, 58, 97, 107, 66, 93, 61, 93, 120]",334,258,231,115,137,5,UK
81,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",482,"[10, 13, 7, 2, 12, 80, 9, 5, 120]","[9, 10, 84, 97, 9, 7, 10, 5, 0]","[20, 15, 6, 2, 32, 7, 17, 16, 0]","[14, 17, 4, 3, 9, 5, 24, 61, 0]","[53, 55, 101, 104, 62, 99, 60, 87, 120]",344,258,231,115,137,5,UK
82,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",484,"[10, 9, 8, 0, 10, 81, 15, 5, 120]","[12, 6, 83, 99, 11, 3, 10, 7, 0]","[21, 19, 5, 3, 27, 8, 18, 13, 1]","[18, 19, 2, 0, 8, 4, 21, 65, 0]","[61, 53, 98, 102, 56, 96, 64, 90, 121]",338,258,231,115,137,5,UK
83,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",486,"[14, 10, 5, 0, 11, 81, 10, 7, 120]","[7, 14, 85, 100, 8, 4, 8, 5, 0]","[19, 15, 7, 3, 29, 8, 18, 16, 0]","[12, 17, 1, 4, 13, 3, 24, 63, 0]","[52, 56, 98, 107, 61, 96, 60, 91, 120]",345,258,231,115,137,5,UK
84,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",485,"[8, 10, 5, 3, 18, 80, 9, 5, 120]","[12, 11, 84, 99, 8, 4, 8, 5, 0]","[18, 16, 2, 4, 35, 2, 18, 20, 0]","[14, 15, 3, 1, 8, 5, 24, 67, 0]","[52, 52, 94, 107, 69, 91, 59, 97, 120]",343,258,231,115,137,5,UK
85,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",484,"[14, 13, 3, 5, 8, 79, 7, 10, 119]","[8, 16, 84, 97, 7, 4, 10, 5, 0]","[22, 21, 5, 3, 34, 9, 10, 10, 1]","[11, 14, 6, 2, 6, 5, 27, 65, 1]","[55, 64, 98, 107, 55, 97, 54, 90, 121]",362,258,231,115,137,5,UK
86,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",490,"[10, 9, 3, 3, 10, 78, 15, 11, 119]","[12, 14, 82, 96, 8, 3, 12, 4, 0]","[20, 14, 7, 4, 36, 11, 13, 10, 0]","[14, 14, 5, 2, 6, 4, 24, 67, 1]","[56, 51, 97, 105, 60, 96, 64, 92, 120]",353,258,231,115,137,5,UK
87,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",490,"[8, 13, 3, 2, 9, 87, 7, 10, 119]","[6, 11, 87, 99, 16, 2, 8, 2, 0]","[21, 18, 6, 4, 33, 5, 13, 15, 0]","[14, 12, 2, 3, 6, 2, 33, 65, 0]","[49, 54, 98, 108, 64, 96, 61, 92, 119]",357,258,231,115,137,5,UK
88,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",494,"[10, 7, 7, 1, 5, 84, 16, 9, 119]","[11, 13, 81, 99, 12, 2, 12, 1, 0]","[19, 13, 5, 3, 36, 6, 16, 17, 0]","[13, 15, 3, 3, 7, 4, 24, 67, 1]","[53, 48, 96, 106, 60, 96, 68, 94, 120]",345,258,231,115,137,5,UK
89,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",489,"[14, 13, 4, 2, 11, 80, 6, 9, 119]","[7, 11, 85, 98, 17, 0, 8, 5, 0]","[16, 18, 10, 4, 33, 4, 16, 13, 1]","[13, 6, 5, 5, 7, 4, 27, 70, 0]","[50, 48, 104, 109, 68, 88, 57, 97, 120]",359,258,231,115,137,5,UK
90,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",489,"[13, 14, 2, 4, 12, 79, 12, 3, 119]","[14, 5, 85, 99, 9, 5, 8, 5, 1]","[14, 20, 8, 4, 31, 7, 16, 14, 1]","[13, 12, 2, 1, 6, 2, 31, 70, 0]","[54, 51, 97, 108, 58, 93, 67, 92, 121]",341,258,231,115,137,5,UK
91,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",490,"[12, 14, 3, 5, 12, 81, 7, 5, 119]","[11, 12, 82, 98, 8, 3, 10, 7, 0]","[19, 20, 7, 1, 33, 7, 20, 8, 0]","[12, 13, 4, 0, 7, 4, 26, 71, 0]","[54, 59, 96, 104, 60, 95, 63, 91, 119]",365,258,231,115,137,5,UK
92,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",497,"[13, 9, 7, 4, 14, 81, 8, 3, 119]","[11, 14, 84, 103, 5, 2, 5, 7, 0]","[13, 26, 5, 2, 38, 6, 14, 11, 0]","[10, 15, 2, 1, 5, 2, 31, 71, 0]","[47, 64, 98, 110, 62, 91, 58, 92, 119]",378,258,231,115,137,5,UK
93,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",503,"[17, 11, 3, 3, 6, 83, 10, 6, 119]","[11, 7, 85, 101, 9, 4, 9, 5, 0]","[21, 21, 6, 5, 36, 5, 11, 9, 1]","[7, 9, 3, 3, 6, 6, 29, 73, 1]","[56, 48, 97, 112, 57, 98, 59, 93, 121]",366,258,231,115,137,5,UK
94,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",508,"[15, 11, 3, 1, 12, 85, 9, 3, 119]","[7, 9, 84, 101, 10, 4, 8, 8, 0]","[11, 26, 6, 3, 33, 5, 17, 13, 1]","[9, 17, 2, 0, 5, 2, 30, 72, 0]","[42, 63, 95, 105, 60, 96, 64, 96, 120]",353,258,231,115,137,5,UK
95,"[2, 2, 1, 1, 2, 0, 2, 2, 0]",508,"[12, 11, 4, 2, 9, 88, 10, 3, 119]","[7, 20, 83, 100, 6, 5, 8, 2, 0]","[14, 16, 6, 6, 42, 5, 15, 9, 2]","[7, 10, 5, 1, 9, 1, 26, 78, 0]","[40, 57, 98, 109, 66, 99, 59, 92, 121]",380,258,231,115,137,5,UK
