,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
16,"[1, 1, 0, 2, 0, 0, 1, 2, 2]",197,"[16, 21, 68, 19, 29, 52, 12, 21, 18]","[39, 30, 10, 23, 26, 16, 53, 22, 28]","[9, 17, 8, 14, 14, 13, 14, 16, 25]","[13, 6, 4, 19, 12, 17, 8, 26, 19]","[77, 74, 90, 75, 81, 98, 87, 85, 90]",93,256,247,130,124,1,UK
17,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",207,"[14, 23, 72, 18, 27, 54, 15, 19, 14]","[49, 33, 9, 22, 20, 15, 54, 22, 23]","[15, 17, 8, 16, 19, 7, 13, 15, 20]","[15, 7, 11, 18, 10, 14, 12, 19, 18]","[93, 80, 100, 74, 76, 90, 94, 75, 75]",105,256,247,130,124,1,UK
18,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",218,"[13, 16, 72, 18, 19, 65, 17, 13, 23]","[49, 43, 12, 17, 17, 10, 53, 29, 17]","[9, 13, 8, 19, 16, 14, 18, 14, 19]","[14, 17, 4, 22, 19, 7, 3, 22, 16]","[85, 89, 96, 76, 71, 96, 91, 78, 75]",100,256,247,130,124,1,UK
19,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",243,"[12, 19, 64, 17, 21, 63, 17, 23, 20]","[49, 40, 14, 27, 12, 10, 55, 19, 21]","[13, 9, 5, 20, 19, 13, 15, 14, 22]","[12, 11, 13, 20, 14, 5, 10, 23, 16]","[86, 79, 96, 84, 66, 91, 97, 79, 79]",105,256,247,130,124,1,UK
20,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",238,"[15, 21, 66, 19, 22, 60, 12, 21, 20]","[51, 38, 10, 22, 16, 13, 57, 17, 23]","[13, 12, 8, 20, 23, 9, 10, 12, 23]","[4, 16, 10, 19, 16, 13, 9, 21, 16]","[83, 87, 94, 80, 77, 95, 88, 71, 82]",101,256,247,130,124,1,UK
21,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",248,"[17, 12, 69, 14, 26, 72, 14, 20, 12]","[49, 48, 14, 16, 12, 9, 56, 24, 19]","[12, 14, 10, 22, 18, 8, 8, 12, 26]","[8, 9, 7, 24, 16, 8, 10, 24, 18]","[86, 83, 100, 76, 72, 97, 88, 80, 75]",111,256,247,130,124,1,UK
22,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",253,"[14, 15, 74, 22, 20, 70, 11, 11, 19]","[55, 52, 7, 16, 18, 12, 52, 20, 15]","[16, 11, 9, 22, 16, 8, 11, 13, 24]","[8, 7, 6, 14, 15, 13, 15, 30, 16]","[93, 85, 96, 74, 69, 103, 89, 74, 74]",126,256,247,130,124,1,UK
23,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",255,"[14, 12, 75, 11, 20, 66, 13, 21, 24]","[54, 43, 12, 17, 21, 8, 58, 17, 17]","[6, 12, 9, 19, 22, 14, 13, 16, 19]","[13, 15, 5, 15, 16, 10, 7, 26, 17]","[87, 82, 101, 62, 79, 98, 91, 80, 77]",131,256,247,130,124,1,UK
24,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",272,"[14, 12, 76, 16, 27, 64, 10, 15, 22]","[57, 43, 7, 19, 16, 14, 61, 20, 10]","[10, 11, 6, 19, 16, 7, 10, 29, 22]","[8, 12, 5, 24, 14, 10, 13, 20, 18]","[89, 78, 94, 78, 73, 95, 94, 84, 72]",127,256,247,130,124,1,UK
25,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",287,"[13, 12, 77, 13, 22, 70, 11, 14, 24]","[59, 43, 9, 16, 16, 8, 62, 19, 15]","[15, 17, 8, 24, 15, 6, 10, 17, 18]","[5, 16, 12, 19, 16, 8, 7, 22, 19]","[92, 88, 106, 72, 69, 92, 90, 72, 76]",146,256,247,130,124,1,UK
26,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",279,"[12, 10, 81, 17, 24, 69, 9, 17, 17]","[56, 41, 10, 15, 15, 11, 67, 17, 15]","[9, 16, 5, 13, 25, 7, 12, 21, 22]","[10, 10, 6, 24, 23, 11, 7, 22, 11]","[87, 77, 102, 69, 87, 98, 95, 77, 65]",159,256,247,130,124,1,UK
27,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",290,"[17, 14, 79, 19, 20, 72, 9, 14, 12]","[61, 41, 5, 18, 11, 10, 67, 11, 23]","[11, 17, 5, 18, 24, 5, 5, 26, 19]","[11, 8, 10, 19, 21, 8, 10, 18, 19]","[100, 80, 99, 74, 76, 95, 91, 69, 73]",169,256,247,130,124,1,UK
28,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",311,"[6, 14, 84, 19, 18, 73, 10, 15, 17]","[65, 44, 3, 19, 13, 8, 62, 13, 20]","[15, 11, 6, 12, 26, 7, 5, 30, 18]","[6, 16, 8, 16, 15, 7, 11, 27, 18]","[92, 85, 101, 66, 72, 95, 88, 85, 73]",188,256,247,130,124,1,UK
29,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",324,"[7, 15, 86, 19, 22, 73, 7, 14, 13]","[66, 41, 5, 14, 16, 7, 75, 11, 12]","[17, 9, 10, 19, 16, 4, 9, 29, 17]","[7, 18, 7, 24, 9, 10, 6, 21, 22]","[97, 83, 108, 76, 63, 94, 97, 75, 64]",186,256,247,130,124,1,UK
30,"[1, 1, 0, 2, 2, 0, 1, 2, 2]",338,"[6, 10, 91, 18, 13, 73, 8, 12, 25]","[67, 44, 5, 12, 15, 9, 72, 9, 14]","[4, 14, 5, 16, 19, 8, 9, 35, 20]","[7, 13, 1, 18, 24, 7, 11, 27, 16]","[84, 81, 102, 64, 71, 97, 100, 83, 75]",209,256,247,130,124,1,UK
